# Chunk-averaged data for fix profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass v_disp v_vx v_vy v_vz v_s22 v_s11 v_s33 v_vo
100 50 17279.8
  47 0.93 345.4 1.98911 -2.15021 0.0140734 -2.07399 0.0101019 -9.23019 7.42149 7.94875 10.6148
  48 0.95 316.6 1.78679 -2.13232 -0.00280813 -2.11985 0.0455647 -47.5623 -19.3212 -35.9049 12.2214
  49 0.97 111.8 0.665308 -1.73179 -0.0387943 -2.07602 0.0522745 7.70015 -18.6332 50.4063 48.4798
  50 0.99 11.2 0.0723262 -0.426327 -0.632952 -1.71096 -0.552789 -184.237 -38.4815 -225.871 109.593
10600 50 17280
  1 0.01 502.6 2.86022 -1.41005 -0.130993 -0.0412121 0.121326 198.582 163.584 169.639 6.86497
  2 0.03 453 2.63448 -1.49237 -0.0344408 -0.0188938 0.101879 241.475 195.297 124.864 7.82187
  3 0.05 459.2 2.63104 -1.64402 0.010694 -0.0670372 -0.0172639 211.038 192.58 131.713 7.69814
  4 0.07 461.8 2.6483 -1.79245 0.0511426 -0.179129 -0.0601736 206.812 187.689 143.569 7.84315
  5 0.09 429.2 2.47725 -1.93396 0.0371465 -0.480938 -0.0438557 204.373 150.684 80.2498 8.19041
  6 0.11 361.2 2.0593 -2.03088 0.108385 -1.22137 0.0750624 82.4344 80.4669 21.4665 9.24142
  7 0.13 364.6 2.12354 -2.0648 -0.00993661 -1.7837 0.0143736 3.22574 7.35726 9.12373 9.81596
  8 0.15 367.8 2.14412 -2.07958 0.0111274 -1.91759 -0.0432748 -17.0013 -24.8882 0.384421 10.1245
  9 0.17 327.8 1.86032 -2.08654 -0.0211004 -1.97597 -0.0293002 -14.2756 9.88148 -5.62199 10.0123
  10 0.19 358.8 2.03494 -2.09569 -0.0636977 -1.89088 -0.0119531 13.2693 -25.0438 5.51554 10.0718
  11 0.21 347.8 2.01527 -2.1096 -0.0783367 -1.93446 0.0277947 23.024 17.8295 2.01814 9.9845
  12 0.23 333.2 1.92332 -2.11336 0.00472428 -1.97838 -0.0398753 -35.2837 6.70016 10.3919 10.1271
  13 0.25 368.8 2.14496 -2.11595 -0.0769873 -1.9924 0.0335639 -15.4986 -19.6842 7.59089 10.4033
  14 0.27 325.8 1.86578 -2.11107 -0.064059 -2.02278 -0.0163563 -40.8361 11.2555 -20.6306 10.2099
  15 0.29 354.2 1.99847 -2.11427 0.00986898 -2.00071 0.0043371 6.04955 -30.8322 1.06973 10.1572
  16 0.31 327.2 1.88026 -2.11996 -0.0271305 -1.92068 -0.00132789 -8.8816 0.319528 3.68014 10.1419
  17 0.33 342.6 1.97944 -2.11477 -0.00838799 -1.96468 0.0277993 -21.8857 -6.59748 13.2426 10.3379
  18 0.35 370 2.15055 -2.11527 0.00379402 -1.98062 -0.0397386 -15.5266 -2.34328 24.1238 10.2611
  19 0.37 319.4 1.83337 -2.11476 -0.018264 -2.04786 0.0309345 -24.0485 4.03928 -26.8862 10.1392
  20 0.39 360 2.03549 -2.11535 -0.00792947 -1.95917 0.00298602 1.1034 -24.5281 8.16831 10.3325
  21 0.41 320.4 1.84886 -2.1185 0.0129485 -1.97602 -0.00285025 -11.9504 6.19093 -10.3767 10.2298
  22 0.43 353.6 2.04116 -2.11513 -0.0128831 -1.97468 0.0324339 -14.2918 -4.33554 16.1036 10.2445
  23 0.45 361 2.09575 -2.11312 -0.0270433 -2.09392 -0.105752 9.29261 18.312 23.9471 10.2812
  24 0.47 314.4 1.80097 -2.11249 0.0278093 -1.93862 0.0691896 -5.42241 29.7979 -9.76301 10.11
  25 0.49 369.2 2.0937 -2.11334 0.0179506 -1.99655 -0.0192877 5.37803 -34.5574 -7.47686 10.3648
  26 0.51 317.8 1.82713 -2.11666 -0.0440833 -1.98987 -0.0229371 -5.5659 16.1337 -10.5072 10.1245
  27 0.53 363.4 2.10172 -2.11801 -5.15635e-05 -2.00762 0.00746396 -36.604 -22.9927 -7.81247 10.1873
  28 0.55 349.2 2.03007 -2.11983 0.0137934 -2.01573 -0.0367941 -19.1388 -1.58829 9.28492 10.3474
  29 0.57 323.8 1.85947 -2.11462 0.0740189 -2.01981 0.0174164 10.0268 9.02031 2.31152 10.1674
  30 0.59 355.4 2.0014 -2.11279 0.0135017 -1.97127 -0.0269192 31.3244 -3.68988 32.6638 10.2721
  31 0.61 321.6 1.84546 -2.11683 -0.0466191 -1.95959 0.0836902 -5.2262 19.5112 13.6813 10.212
  32 0.63 366.8 2.13212 -2.11352 0.0388631 -1.98296 -1.92732e-05 -28.7234 -33.2231 -0.370844 10.3917
  33 0.65 347 2.01571 -2.11654 -0.0137349 -2.04397 0.00652217 -45.7286 -4.83411 26.435 10.209
  34 0.67 325.2 1.85826 -2.11166 0.0885606 -2.04605 -0.00806449 19.54 3.23895 -5.72837 10.0827
  35 0.69 366.8 2.07453 -2.11781 0.0156841 -2.02434 0.00181877 16.6191 -13.7805 20.5692 10.1195
  36 0.71 317 1.82306 -2.12783 -0.0791374 -2.01588 -0.00436448 -15.9403 16.6594 15.6073 10.18
  37 0.73 373 2.16501 -2.12515 -0.00142726 -2.05866 0.00211488 -10.827 -2.97465 12.456 10.2895
  38 0.75 344.6 1.99493 -2.13239 0.0166892 -2.02155 -0.0109598 -42.0522 2.78108 34.39 10.0957
  39 0.77 331.8 1.91389 -2.13792 0.0831284 -2.08229 0.0382382 19.4231 3.87255 -3.73234 9.98699
  40 0.79 367.8 2.07199 -2.14897 -0.029308 -2.03749 -0.0345554 28.8632 2.21229 12.5267 10.0096
  41 0.81 327.6 1.89289 -2.16337 -0.0893725 -2.06774 -0.0685657 -6.09038 36.813 19.0789 9.98873
  42 0.83 367.8 2.1327 -2.17209 0.0491158 -2.05945 0.0620484 -8.66197 -2.82732 -0.296727 10.0728
  43 0.85 362.8 2.10465 -2.18418 0.0426345 -2.13407 -0.030657 2.67652 -2.20855 29.551 10.0258
  44 0.87 327.8 1.88241 -2.18773 0.0880435 -2.02571 0.0693457 -33.4273 -1.91041 -5.97086 10.0933
  45 0.89 356.6 2.01472 -2.18478 0.011768 -2.04176 0.0379465 -7.03041 -19.7392 11.3257 10.1915
  46 0.91 333.4 1.93134 -2.18332 -0.0200681 -2.0175 0.021469 -10.2828 -7.12537 -13.1796 10.133
  47 0.93 340.6 1.96271 -2.1705 0.0102004 -2.03539 -0.0168073 -28.6468 7.33194 23.8256 10.5993
  48 0.95 320.4 1.80601 -2.15319 0.0321158 -2.06242 0.0796943 -2.81302 18.5528 -13.4246 12.4027
  49 0.97 107.8 0.64624 -1.72048 -0.0265565 -2.02926 -0.0479056 -5.57951 -1.69438 7.81121 48.689
  50 0.99 10.4 0.0670774 -0.430132 -0.289693 -2.35699 0.342938 45.5973 32.5927 150.816 126.376
10700 50 17280
  1 0.01 504 2.86564 -1.41232 -0.189492 -0.112116 0.0208032 153.633 134.654 88.3019 6.85386
  2 0.03 452.2 2.63773 -1.49346 -0.00276542 -0.110687 -0.0230244 210.133 155.959 121.011 7.82798
  3 0.05 464 2.66133 -1.64583 -0.0207084 -0.0643031 -0.0630287 210.172 178.474 126.057 7.70427
  4 0.07 454.2 2.6127 -1.79477 4.19308e-06 -0.132474 -0.0484462 217.178 187.431 133.763 7.80873
  5 0.09 438.2 2.52201 -1.93922 0.0249397 -0.446874 0.00574229 188.451 134.077 82.1904 8.09275
  6 0.11 371 2.11761 -2.04437 0.135358 -1.10667 0.0516072 118.699 84.9904 43.5595 9.1139
  7 0.13 355.8 2.07096 -2.0834 0.0346689 -1.7408 0.0279631 1.31429 24.7481 14.4502 9.75693
  8 0.15 366.6 2.13893 -2.09862 -0.00647207 -1.93248 -0.0116188 0.349263 -15.2475 11.6576 10.192
  9 0.17 336.2 1.9331 -2.10597 0.018197 -1.9151 -0.0333251 -0.423598 35.5017 25.3187 10.0549
  10 0.19 355.4 2.01219 -2.11486 0.000849169 -1.89706 0.0373694 23.9969 -4.62881 2.2468 10.007
  11 0.21 348.4 1.99801 -2.12971 0.00557867 -1.9543 0.0560547 2.74852 -12.0083 -4.77467 9.9098
  12 0.23 335 1.93195 -2.13319 0.0253723 -1.97828 0.0108242 -24.5929 22.3214 24.0774 10.1504
  13 0.25 362.4 2.12691 -2.13622 0.0768588 -2.02886 -0.0372134 -18.419 -28.0245 3.742 10.3906
  14 0.27 325 1.86094 -2.13106 0.0330371 -1.98798 -0.0274083 -40.4173 14.7479 -0.645394 10.293
  15 0.29 353.4 1.99546 -2.13404 -0.00950024 -1.97627 -0.0118945 16.5386 -17.0591 17.4273 10.0947
  16 0.31 334.8 1.93197 -2.13962 -0.00242511 -2.04125 0.0103998 -1.78445 -8.87525 -10.9549 10.2286
  17 0.33 335.6 1.94273 -2.13435 0.0357005 -1.96739 0.00571876 -45.3915 3.43836 13.8142 10.253
  18 0.35 369.8 2.14887 -2.13517 -0.0189537 -2.03497 0.0446792 -19.5294 -24.1402 -1.34646 10.3273
  19 0.37 320.2 1.83032 -2.13511 -0.00446164 -2.07884 0.0199425 -40.1053 7.15396 -10.4049 10.1412
  20 0.39 357.2 2.0256 -2.13582 -0.00620707 -2.01726 0.00856458 23.8188 -20.8088 7.6968 10.2941
  21 0.41 324.2 1.86936 -2.13823 -0.0104207 -1.9477 0.0262364 10.2696 21.7607 16.5132 10.2508
  22 0.43 349 2.01906 -2.13477 1.5928e-05 -2.03176 0.00455216 -24.5493 -7.19159 6.52092 10.227
  23 0.45 363.2 2.11105 -2.13334 -0.00903338 -2.01072 -0.00877982 -12.6847 -8.02984 20.9736 10.3182
  24 0.47 318.6 1.82776 -2.13254 0.00563625 -1.9966 0.000300551 8.47852 46.9623 27.5496 10.1414
  25 0.49 364.4 2.05993 -2.13274 0.0097964 -1.94963 -0.0321586 8.5303 -21.8955 -1.59401 10.3392
  26 0.51 325 1.879 -2.13682 -0.0349744 -2.00935 0.0285755 -12.9386 -7.24299 -19.6074 10.1236
  27 0.53 353 2.03854 -2.13821 0.0466909 -2.01231 -0.0125516 -6.94749 11.1086 35.6924 10.1493
  28 0.55 354.4 2.05309 -2.14016 -0.00183508 -2.02764 -0.0338478 -20.5661 8.65683 15.5459 10.3599
  29 0.57 320 1.84497 -2.1345 0.00922033 -1.98213 -0.001176 -16.794 7.29793 -12.6938 10.1625
  30 0.59 361.4 2.04196 -2.13271 -0.0641904 -1.98184 -0.045348 8.12669 -20.7111 21.2914 10.3141
  31 0.61 315.6 1.81281 -2.13623 0.00991054 -1.95313 0.0223852 -3.32107 16.5903 -6.1566 10.1661
  32 0.63 367.6 2.13526 -2.13343 -0.000575638 -2.05682 -0.0193943 6.42045 1.15687 19.7292 10.3451
  33 0.65 347 2.01932 -2.13727 0.0555333 -2.02787 -0.0196653 -42.7035 3.10244 15.8255 10.2487
  34 0.67 324.6 1.8571 -2.13174 -0.0503389 -1.96987 0.0268857 12.7334 13.2091 -7.0821 10.0934
  35 0.69 369 2.08103 -2.13807 0.0141924 -2.0329 0.0226687 16.8817 -5.84725 26.9629 10.1211
  36 0.71 315 1.81602 -2.14772 -0.0142313 -2.02045 -0.00422594 -15.852 28.8739 17.6177 10.1625
  37 0.73 371.8 2.15947 -2.14579 0.0025969 -2.02463 0.000825453 -13.1217 -21.4368 -1.12562 10.283
  38 0.75 345.2 2.00429 -2.15272 0.000310678 -2.06247 -0.0328007 -26.0464 5.84184 48.7638 10.1167
  39 0.77 331.2 1.91127 -2.15877 -0.0429216 -2.09297 0.0229811 11.0177 14.6872 1.63618 9.9733
  40 0.79 367.2 2.06638 -2.16952 -0.0173034 -2.02671 -0.0166884 22.7076 -6.68399 25.9317 10.0083
  41 0.81 330.4 1.90331 -2.1839 -0.0317095 -2.07552 -0.0316839 -16.9302 11.0608 -9.68987 10.0096
  42 0.83 365.2 2.12808 -2.19331 0.0401613 -2.09998 -4.60688e-05 -11.9215 -9.86241 14.0428 10.0146
  43 0.85 364.4 2.11862 -2.20543 0.0468382 -2.1203 -0.0257763 -20.0321 -21.8755 0.132121 10.0813
  44 0.87 325.4 1.86842 -2.20829 -0.0199512 -2.06487 -0.00690606 -10.8448 6.77154 8.319 10.0669
  45 0.89 356.6 2.01531 -2.20538 -0.0626368 -2.08243 -0.0389877 8.96836 -26.7213 -6.034 10.1976
  46 0.91 334.4 1.9311 -2.20367 -0.0125232 -2.08138 -0.0235896 -24.3321 -9.13258 -19.7025 10.1538
  47 0.93 338.4 1.96164 -2.19117 -0.00517052 -2.06362 0.0448715 -18.4428 8.83333 28.2268 10.5681
  48 0.95 320 1.80934 -2.17353 0.0147194 -2.04544 -0.0532802 10.1533 -7.99585 5.01336 12.5226
  49 0.97 107 0.639013 -1.74658 -0.0911355 -1.88305 0.11582 -1.20579 -2.81397 12.846 48.1482
  50 0.99 11.4 0.0688367 -0.441956 1.06651 -2.52312 0.582604 116.456 -31.2094 2.8621 121.569
10800 50 17280
  1 0.01 505 2.87427 -1.41485 -0.11322 -0.10114 0.102105 174.102 146.716 133.292 6.83284
  2 0.03 452 2.63948 -1.49489 -0.0347041 0.00422204 0.0148852 199.253 169.919 133.894 7.85157
  3 0.05 464.2 2.67974 -1.64646 0.0117328 -0.0796233 -0.0426636 215.977 196.438 162.75 7.69733
  4 0.07 450.8 2.58368 -1.79557 -0.0191668 -0.0773324 -0.0267893 222.293 192.666 139.96 7.79423
  5 0.09 444.6 2.53807 -1.94331 0.0360739 -0.414517 0.0124121 197.117 124.518 86.2993 8.02661
  6 0.11 378.8 2.18637 -2.05652 0.137343 -1.00122 0.021991 131.213 66.4075 38.7517 8.94824
  7 0.13 349.4 2.03049 -2.10102 0.0418204 -1.73938 0.0199842 1.10377 29.8881 25.8779 9.68533
  8 0.15 368 2.14364 -2.11841 0.00443498 -1.95163 -0.00460059 -7.77802 -6.47156 14.1223 10.2049
  9 0.17 338.6 1.94505 -2.12548 -0.0679821 -1.97407 -0.0233418 -9.45271 21.2224 14.2715 10.0491
  10 0.19 353.6 2.0137 -2.13459 -0.0463573 -1.91293 0.00950843 6.06146 -23.3517 0.123662 9.9536
  11 0.21 349.8 1.99326 -2.1491 -0.0203623 -1.89875 -0.00979523 32.7148 -2.9559 24.6068 9.96944
  12 0.23 333.2 1.91504 -2.15316 -0.00532528 -2.03148 0.0103871 -0.0737139 47.0627 39.2498 10.1293
  13 0.25 361.8 2.13293 -2.1566 0.00152537 -1.98847 -0.021775 17.3105 11.8235 31.8511 10.4176
  14 0.27 328.4 1.88656 -2.15057 0.00438985 -1.9622 0.00171929 -28.1888 26.3397 10.0335 10.2854
  15 0.29 350.4 1.99183 -2.1532 0.0569773 -1.97659 0.00659858 26.2691 -19.2958 8.24369 10.085
  16 0.31 342.8 1.96098 -2.15965 -0.00525109 -2.01842 0.0261336 7.07443 -3.44359 -4.08725 10.1649
  17 0.33 333.4 1.93509 -2.15496 0.00437897 -2.05724 -0.0306681 -40.6403 17.9548 21.2896 10.2968
  18 0.35 364.4 2.13351 -2.15544 -0.0257288 -1.98305 0.00641117 -5.16286 -0.995198 5.51451 10.3257
  19 0.37 323.2 1.84786 -2.15455 0.034255 -1.99393 0.0387928 -34.8543 9.48181 7.40735 10.2752
  20 0.39 351.2 1.98427 -2.1559 -0.0284965 -1.93468 0.0553132 7.04533 -26.6071 8.41342 10.1828
  21 0.41 331.4 1.91902 -2.15791 0.00225038 -1.97064 -0.0260239 -3.35111 -3.24336 2.64907 10.2616
  22 0.43 341.4 1.97656 -2.15509 0.0284422 -2.00496 0.0631835 -25.1738 5.81533 9.64571 10.2086
  23 0.45 367.6 2.13212 -2.15306 0.00483451 -2.02069 -0.0785122 -8.72715 -5.57102 24.1159 10.3378
  24 0.47 319 1.83244 -2.15291 0.0214431 -2.06162 0.0130469 12.5046 35.9858 40.5534 10.132
  25 0.49 359.4 2.03194 -2.1526 0.0422672 -1.94394 -0.00106626 8.09353 -30.7583 9.65144 10.3375
  26 0.51 328.8 1.90681 -2.15688 -0.0296651 -1.98881 0.00958722 6.45448 2.99757 9.94845 10.1319
  27 0.53 349.4 2.01877 -2.15846 0.00175723 -2.0058 0.0231862 -23.2854 7.90955 23.5574 10.1188
  28 0.55 360 2.08708 -2.15987 -0.0297174 -1.98462 -0.00853154 -27.7548 -9.43944 4.65489 10.3908
  29 0.57 316.8 1.82336 -2.15477 0.031163 -2.02026 -0.034193 -38.0789 14.0675 -7.5982 10.1996
  30 0.59 361 2.03884 -2.15216 0.00329531 -1.93794 0.0132915 7.27856 -38.492 11.5168 10.3177
  31 0.61 316 1.82298 -2.15609 -0.010762 -1.99774 0.0445836 -11.1162 20.6675 4.48239 10.1223
  32 0.63 366.2 2.12408 -2.15359 0.0132161 -1.99229 -0.0141865 -3.22631 -10.0504 5.28743 10.3086
  33 0.65 348 2.03161 -2.15757 -0.0520168 -2.01036 -0.0616192 -11.8896 22.7363 38.2577 10.2687
  34 0.67 323.6 1.85243 -2.15192 0.0345946 -2.04173 -0.0773511 12.0218 28.3983 5.48922 10.1111
  35 0.69 369.2 2.08815 -2.15841 0.0486809 -2.04889 0.0123299 19.4313 -18.3669 25.0531 10.1334
  36 0.71 314.2 1.80991 -2.1679 -0.0397499 -2.0117 -0.000614211 -14.3036 27.265 -8.38336 10.1336
  37 0.73 369.2 2.1431 -2.16619 -0.0112323 -2.05637 -0.016074 -18.5855 -23.8262 -17.1569 10.2614
  38 0.75 349 2.03265 -2.17379 -0.0120103 -2.09468 0.00303248 -13.0361 -5.5224 31.1621 10.1533
  39 0.77 329.4 1.89766 -2.17962 0.0565175 -2.09178 0.02729 0.340023 10.7958 -4.95275 9.96568
  40 0.79 367.4 2.06915 -2.19033 -0.0318605 -2.07219 -0.0292088 9.18462 -22.9603 18.3405 10.0133
  41 0.81 333.8 1.93056 -2.20493 -0.00500248 -2.0689 0.006568 -3.52126 5.86915 1.40555 9.99783
  42 0.83 360.4 2.09532 -2.21418 0.0613437 -2.04881 0.0140751 -7.75337 -12.4686 28.5498 10.0033
  43 0.85 367.4 2.13392 -2.22622 0.0477021 -2.06677 0.00682162 -2.21802 17.7196 22.3183 10.096
  44 0.87 324 1.86225 -2.2292 0.0442256 -2.06262 0.0604673 12.933 23.2196 27.7758 10.0753
  45 0.89 357.4 2.02315 -2.22622 -0.0333368 -2.06579 0.0190523 2.07156 -30.2361 -6.73779 10.2157
  46 0.91 335.8 1.93531 -2.22424 0.0659391 -2.03266 -0.0587878 -2.52416 3.24326 -7.33146 10.1038
  47 0.93 335 1.94833 -2.2119 -0.0090757 -2.04271 -0.0289653 -17.5095 0.691387 24.3074 10.5961
  48 0.95 316.2 1.79631 -2.19463 0.0132951 -2.1086 0.0220535 31.3619 22.1652 31.1907 12.551
  49 0.97 108.6 0.635304 -1.75684 -0.00295242 -1.86336 -0.0738933 -19.2012 -19.6446 0.0161514 48.8612
  50 0.99 10.8 0.0708697 -0.454146 0.00963015 -0.218927 -0.498615 -123.534 70.5792 -121.542 117.09
10900 50 17280
  1 0.01 504.6 2.87566 -1.41652 -0.103966 0.027006 0.0568947 178.642 187.863 149.128 6.83857
  2 0.03 455.6 2.65701 -1.49458 -0.0735991 0.048917 0.0568144 189.785 167.21 124.9 7.85353
  3 0.05 460.6 2.66339 -1.6476 0.0102325 -0.0905874 -0.0100954 195.635 202.609 161.715 7.66744
  4 0.07 451.8 2.58555 -1.79641 -0.00305303 -0.0592978 -0.0366964 212.553 180.648 130.777 7.78596
  5 0.09 444.8 2.54833 -1.94821 -0.0705534 -0.37044 -0.0381092 209.828 152.544 129.715 7.96501
  6 0.11 388.8 2.24887 -2.06739 0.182081 -0.869088 0.0139418 141.539 70.7233 31.9849 8.80111
  7 0.13 350 2.02009 -2.11876 -0.0125374 -1.66068 0.0402732 4.12802 37.8034 33.0399 9.56254
  8 0.15 369.8 2.15346 -2.13817 0.0467705 -1.88973 -0.0111314 -14.6572 -17.1509 0.0191529 10.2033
  9 0.17 335 1.91648 -2.14559 -0.0272435 -1.98364 -0.0366787 -32.2944 9.33619 0.198985 10.089
  10 0.19 350.8 2.02474 -2.15397 -0.0123656 -1.9114 -0.0449473 5.1644 -16.3789 1.11326 9.93797
  11 0.21 358.4 2.03479 -2.16819 -0.079034 -1.94217 0.0276455 31.0466 -6.59614 18.2825 9.98546
  12 0.23 327 1.87434 -2.17372 0.0213273 -1.94788 -0.0589454 -22.6608 21.3505 10.1879 10.1453
  13 0.25 359.6 2.10724 -2.17656 0.00368829 -2.02369 0.0475732 19.0451 5.45366 27.2669 10.4304
  14 0.27 330.8 1.9069 -2.17105 0.00381132 -2.01802 -0.0391406 -48.5196 -6.73153 -6.02237 10.2951
  15 0.29 347.4 2.00032 -2.17303 -0.0205395 -2.053 0.0162542 17.7558 -4.07332 6.37373 10.0185
  16 0.31 347.6 1.98337 -2.17892 0.00217864 -1.96659 -0.0143294 21.1523 2.79155 24.345 10.2065
  17 0.33 327.6 1.89194 -2.17538 -0.0416911 -1.98021 0.00850321 -17.0066 20.4128 11.3398 10.2698
  18 0.35 366.6 2.15431 -2.17536 -0.0582822 -2.01372 -0.0204343 6.6472 -1.18539 9.8231 10.3156
  19 0.37 325.8 1.86846 -2.17481 -0.0500975 -2.08921 0.0261531 -22.391 17.9956 3.43611 10.3123
  20 0.39 350.6 1.99312 -2.17551 0.0139806 -1.99854 -0.0246367 26.2941 -9.69018 27.7254 10.1707
  21 0.41 338 1.95862 -2.1776 0.0113773 -2.0068 -0.0129924 10.7909 15.82 -6.54468 10.2499
  22 0.43 335.2 1.93249 -2.17523 0.022453 -2.00483 0.0173438 -42.1688 0.406347 6.78462 10.1557
  23 0.45 364.6 2.12241 -2.17307 0.0199878 -2.04349 -0.0688034 -17.7201 -17.6391 7.37773 10.4054
  24 0.47 323.6 1.86553 -2.17289 0.00424179 -2.01681 0.0539225 -0.873601 34.3343 11.2129 10.1688
  25 0.49 350 1.97002 -2.17257 0.00296086 -1.95225 0.0169564 1.2997 -34.767 13.1302 10.3284
  26 0.51 339.2 1.96184 -2.17644 -0.0788293 -1.98359 -0.0320929 4.46043 -3.26509 4.21255 10.0735
  27 0.53 339.6 1.97045 -2.17906 -0.00368703 -2.04484 -0.0167142 -22.7478 6.52871 23.338 10.1516
  28 0.55 363.8 2.11286 -2.18008 0.054998 -2.03527 0.0273709 -17.4043 -24.6013 2.37749 10.4014
  29 0.57 318.6 1.82568 -2.17468 -0.0148736 -1.97908 0.0655983 -36.6738 13.2011 -21.3844 10.2307
  30 0.59 359.8 2.04566 -2.17175 -0.0102926 -1.97417 -0.0349132 -11.473 -41.4155 -10.4254 10.2928
  31 0.61 316.2 1.81744 -2.17599 -0.00596845 -1.95908 0.0402927 -5.56052 17.0455 -2.23826 10.1534
  32 0.63 360 2.08882 -2.17348 -0.00703231 -1.99935 -0.00371929 -11.9562 -3.53262 3.24712 10.2567
  33 0.65 354 2.06134 -2.17738 0.0726419 -2.01026 -0.0233353 -7.1803 10.6423 25.2661 10.2754
  34 0.67 321 1.85238 -2.17257 0.00418391 -2.00534 0.0601381 -8.68967 14.4402 13.0743 10.1394
  35 0.69 368.8 2.07607 -2.17875 -0.0303347 -2.01943 0.0112863 -7.99102 -29.7415 -11.9466 10.1168
  36 0.71 314.2 1.82064 -2.18791 -0.0372007 -2.02649 0.00474329 -12.9103 20.1923 0.116337 10.1411
  37 0.73 368.6 2.13607 -2.18689 -0.00344655 -2.03989 -0.0331089 -12.6246 -17.0653 0.523581 10.2142
  38 0.75 352.8 2.06077 -2.19434 0.0202769 -2.05674 -0.0117637 -10.8765 -9.93206 25.8473 10.1392
  39 0.77 327.4 1.88524 -2.20036 0.00997864 -2.03217 0.0764233 25.4174 46.6058 14.7519 10.0171
  40 0.79 370.2 2.08687 -2.21121 -0.0264972 -2.01369 -0.0262931 1.44021 -31.4184 -0.283786 10.0076
  41 0.81 334 1.9357 -2.2258 -0.0715662 -2.05323 -0.067365 3.20124 20.0858 13.5006 10.0043
  42 0.83 353 2.04763 -2.23519 0.00802859 -2.12022 0.0374715 -15.7707 -8.34289 12.3911 9.97368
  43 0.85 370.2 2.15348 -2.24698 0.0161268 -2.07896 -0.0500452 -5.81772 1.78663 22.363 10.1312
  44 0.87 324.4 1.86866 -2.24963 -0.0602559 -2.02853 0.0587631 -7.02462 30.7139 17.1464 10.0931
  45 0.89 358.8 2.03014 -2.24648 -0.0179521 -2.07327 0.0260228 10.8664 -25.7588 22.9202 10.2049
  46 0.91 337.8 1.94774 -2.24444 0.016292 -2.01628 0.000215306 22.6553 30.8154 22.9185 10.0615
  47 0.93 329 1.91341 -2.23239 0.00952813 -2.05315 0.00359438 -40.2593 -5.91235 21.4961 10.6296
  48 0.95 318 1.80288 -2.21512 -0.0387777 -2.07707 0.0730563 32.486 53.2877 63.831 12.6983
  49 0.97 105 0.625762 -1.75946 -0.0620557 -1.77588 -0.21926 11.8469 -19.393 -33.4229 49.336
  50 0.99 11 0.0653348 -0.444976 -1.06966 -0.76845 0.321341 -148.58 -107.921 119.12 121.352
11000 50 17280
  1 0.01 503.2 2.86853 -1.41748 -0.116784 -0.00837524 -0.0218245 165.952 181.403 159.726 6.82877
  2 0.03 456.4 2.66736 -1.49468 -0.0361572 -0.0546711 0.0119539 183.462 187.739 126.95 7.84924
  3 0.05 460.6 2.67166 -1.6483 0.0168709 -0.230273 -0.0796528 213.257 189.453 164.401 7.68013
  4 0.07 452.2 2.57777 -1.7978 0.0384167 -0.116208 0.0211523 223.138 193.852 136.814 7.75301
  5 0.09 450 2.58362 -1.95203 0.0344 -0.355735 -0.0191346 200.284 156.415 122.285 7.93858
  6 0.11 394.6 2.29298 -2.07755 0.164239 -0.779457 0.0838249 151.084 85.5977 48.1922 8.64422
  7 0.13 353.2 2.00579 -2.1361 0.0221036 -1.60952 0.00579789 31.2463 43.5608 26.4595 9.52568
  8 0.15 367.6 2.15884 -2.1575 -0.00594833 -1.89389 0.0054327 8.07523 16.0339 5.92248 10.1581
  9 0.17 338.2 1.9437 -2.1649 -0.00138732 -1.9384 0.00804571 -17.4409 23.2916 15.6772 10.0923
  10 0.19 345 2.00094 -2.17386 -0.0581799 -1.88667 0.0688985 27.6703 29.127 35.7488 9.93802
  11 0.21 358.8 2.03393 -2.18756 0.0532008 -1.92156 0.024228 -9.20765 -53.715 -19.8936 10.031
  12 0.23 327.2 1.8767 -2.19363 -0.0294607 -2.03677 -0.00404549 -38.0603 1.76914 -9.08955 10.1111
  13 0.25 368.2 2.14663 -2.19601 0.0491463 -1.99426 -0.0425356 -26.1322 -22.4422 -4.83455 10.3755
  14 0.27 329.2 1.90626 -2.19161 0.0152096 -1.94447 -0.0343524 -11.1911 -8.92609 23.3834 10.2384
  15 0.29 340.8 1.97298 -2.19325 -0.0237799 -1.99757 0.0185021 -3.50039 -13.0575 -13.6896 10.1028
  16 0.31 350.8 1.99971 -2.19852 -0.0211156 -2.00568 0.0158503 21.3967 -35.5227 5.71256 10.2663
  17 0.33 322.2 1.83871 -2.19508 0.0549665 -2.0238 0.0298708 -12.024 31.6198 3.27935 10.2152
  18 0.35 372.6 2.18215 -2.19607 0.0150549 -2.03682 0.0210896 -3.19029 -25.7902 15.8032 10.33
  19 0.37 326 1.87868 -2.19498 0.0744115 -1.95828 0.0173061 -48.9765 0.365991 -3.01317 10.3276
  20 0.39 343.2 1.97527 -2.19505 -0.064001 -1.95862 0.00433165 7.93775 -32.9428 11.1766 10.1338
  21 0.41 344.4 1.99147 -2.19752 0.0269728 -1.98017 -0.0176444 -3.74092 -12.9764 -17.1558 10.2076
  22 0.43 331 1.89253 -2.1954 -0.000205772 -2.02744 -0.0263263 -47.096 5.6627 -12.1847 10.1899
  23 0.45 362.4 2.13703 -2.194 0.00655921 -2.05441 0.038915 -29.5653 -34.9463 11.335 10.4407
